               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.052752,             0.12666,           0.0025202,             0.85483,              0.7614,             0.81209,             0.39869,            0.050779,             0.11715,           0.0055821,           0.0079903,           0.0079903,           0.0079903
                  96,            0.052655,             0.12594,           0.0020481,             0.87059,             0.77277,             0.82866,             0.39362,             0.05019,             0.11587,           0.0048663,           0.0079509,           0.0079509,           0.0079509
                  97,              0.0529,             0.12842,           0.0023764,             0.90499,             0.77052,             0.83709,             0.40344,            0.049757,             0.11185,           0.0043814,           0.0079112,           0.0079112,           0.0079112
                  98,            0.054761,             0.13126,           0.0024392,             0.85157,             0.73555,             0.79665,             0.40005,            0.050521,             0.11438,           0.0042348,           0.0078713,           0.0078713,           0.0078713
                  99,            0.052434,             0.12563,           0.0022208,               0.862,             0.80306,             0.84474,             0.40859,            0.049286,              0.1139,           0.0051789,           0.0078311,           0.0078311,           0.0078311
                 100,            0.052482,             0.12749,           0.0018687,             0.82911,             0.75485,             0.79761,             0.37732,            0.051292,             0.11999,           0.0056819,           0.0077907,           0.0077907,           0.0077907
                 101,            0.054284,             0.12977,           0.0025015,             0.84821,             0.78815,             0.82248,             0.38935,            0.051379,             0.11598,           0.0040125,             0.00775,             0.00775,             0.00775
                 102,            0.053102,             0.13728,           0.0021835,             0.85795,             0.77187,             0.82123,             0.42189,            0.049106,             0.11358,           0.0038886,           0.0077091,           0.0077091,           0.0077091
                 103,            0.054345,             0.12657,           0.0024445,             0.86139,               0.804,             0.84556,             0.41602,            0.048244,             0.11464,           0.0039792,           0.0076679,           0.0076679,           0.0076679
                 104,            0.052377,             0.12818,           0.0021984,              0.8355,             0.78978,             0.83437,             0.41679,            0.048762,               0.113,           0.0045104,           0.0076265,           0.0076265,           0.0076265
                 105,            0.052591,             0.12659,            0.002374,             0.86906,             0.77747,             0.83461,             0.41153,            0.049785,              0.1126,           0.0040978,           0.0075848,           0.0075848,           0.0075848
                 106,            0.052494,             0.13059,           0.0017628,             0.86016,             0.77634,             0.82057,             0.40841,            0.049508,              0.1131,           0.0040522,            0.007543,            0.007543,            0.007543
                 107,              0.0543,             0.13025,           0.0020024,             0.86324,             0.77454,             0.81839,             0.40169,            0.049495,             0.11563,           0.0045503,           0.0075009,           0.0075009,           0.0075009
                 108,            0.051449,             0.12524,           0.0018926,             0.90472,             0.75107,             0.82681,              0.4154,            0.048541,             0.11297,           0.0043355,           0.0074585,           0.0074585,           0.0074585
                 109,             0.05206,             0.12556,           0.0019929,             0.85843,             0.78927,             0.83442,             0.42392,             0.04876,              0.1125,           0.0040292,            0.007416,            0.007416,            0.007416
                 110,            0.053086,             0.12395,           0.0022076,             0.83409,             0.75147,             0.79761,             0.38782,            0.051974,             0.12072,           0.0046058,           0.0073733,           0.0073733,           0.0073733
                 111,            0.054211,             0.12799,           0.0020012,             0.86204,             0.81172,             0.84946,             0.41857,            0.048961,             0.11734,           0.0042966,           0.0073303,           0.0073303,           0.0073303
                 112,             0.05253,             0.12534,            0.002242,             0.89922,             0.77431,             0.83915,              0.4289,            0.049196,             0.11356,           0.0043642,           0.0072872,           0.0072872,           0.0072872
