               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.050761,              0.1248,           0.0018061,             0.88257,             0.80514,             0.85972,             0.43027,            0.048728,              0.1056,           0.0034036,           0.0059704,           0.0059704,           0.0059704
                 142,            0.052047,             0.12153,           0.0018473,             0.88197,             0.81521,             0.87422,             0.44359,            0.047757,             0.10578,           0.0037079,           0.0059235,           0.0059235,           0.0059235
                 143,            0.049593,             0.11001,           0.0019424,               0.881,             0.82421,             0.86364,             0.44198,            0.047925,             0.10461,           0.0032979,           0.0058766,           0.0058766,           0.0058766
                 144,            0.050888,             0.11151,           0.0017468,             0.87955,             0.81213,             0.87852,             0.45081,            0.047654,             0.10614,           0.0030953,           0.0058296,           0.0058296,           0.0058296
                 145,            0.052126,             0.12548,           0.0017513,             0.88017,             0.79614,             0.85635,             0.43087,            0.048079,             0.10655,           0.0032649,           0.0057826,           0.0057826,           0.0057826
                 146,             0.05196,             0.11768,           0.0018495,             0.87559,             0.79527,             0.85321,              0.4491,            0.047885,             0.10684,           0.0034218,           0.0057355,           0.0057355,           0.0057355
                 147,            0.052869,             0.12423,           0.0017292,             0.83996,             0.80455,             0.84454,             0.43728,            0.047907,             0.10793,           0.0038203,           0.0056884,           0.0056884,           0.0056884
                 148,            0.049493,             0.11273,            0.001695,             0.89308,             0.80998,              0.8728,             0.43803,            0.047977,              0.1062,           0.0034516,           0.0056413,           0.0056413,           0.0056413
                 149,            0.050571,             0.11196,           0.0017155,             0.91688,             0.78049,             0.86291,             0.43649,            0.048219,             0.10688,           0.0032878,           0.0055942,           0.0055942,           0.0055942
                 150,            0.050408,             0.11562,           0.0018764,             0.88315,             0.81515,              0.8792,             0.44451,             0.04765,             0.10402,           0.0031296,           0.0055471,           0.0055471,           0.0055471
                 151,            0.051304,             0.11784,            0.001527,             0.87729,             0.82781,              0.8733,             0.44479,            0.047852,             0.10409,           0.0039959,              0.0055,              0.0055,              0.0055
                 152,            0.051152,             0.12189,           0.0016281,             0.90355,              0.8073,             0.87942,             0.43805,            0.048057,              0.1065,           0.0041689,           0.0054529,           0.0054529,           0.0054529
                 153,            0.050423,             0.11886,           0.0016971,             0.91689,             0.78639,             0.86524,             0.44764,            0.047791,             0.10504,           0.0036553,           0.0054058,           0.0054058,           0.0054058
                 154,            0.051199,             0.11639,           0.0016961,             0.92852,             0.79382,              0.8772,             0.45117,              0.0478,             0.10431,           0.0031018,           0.0053587,           0.0053587,           0.0053587
